Gene > WormBase Gene ID,Gene > Gene Name,Gene > Sequence Name,Gene > Brief Description,Gene > Chromosome Location > Feature . Primary Identifier,Gene > Chromosome Location > Start,Gene > Chromosome Location > End,Gene > Chromosome Location > Strand,Gene > Organism
WBGene00014078,,ZK792.5,,WBGene00014078,11684974,11688118,-1,Caenorhabditis elegans
WBGene00014165,puf-12,ZK945.3,,WBGene00014165,10100310,10103059,1,Caenorhabditis elegans
WBGene00015143,,B0336.3,,WBGene00015143,5711548,5714624,1,Caenorhabditis elegans
WBGene00015329,,C02B10.4,,WBGene00015329,5091586,5092808,1,Caenorhabditis elegans
WBGene00015461,,C05C8.2,,WBGene00015461,7231190,7232749,1,Caenorhabditis elegans
WBGene00015547,ain-1,C06G1.4,"ain-1 encodes an unfamiliar protein synergistically required, with LIN-31, for the normal timing of vulval differentiation, independently of LET-60/RAS, and parallel to or downstream of LIN-14/LIN-28/HBL-1; AIN-1 is expressed in cytoplasmic foci (that are probably P bodies) in several tissues, including vulval precursor cells and neurons; AIN-1 coimmunoprecipitates with DCR-1 and ALG-1, also binds ALG-1 in vitro, and does not require DNA or RNA for its binding; in vivo, AIN-1 targets ALG-1 to cytoplasmic foci, in which it colocalizes with DCAP-2; AIN-1 is likely to be a RISC component, since anti-AIN-1 antibodies precipitate 29 different miRNAs, including mir-2, mir-52, mir-58, mir-71, mir-77, and mir-239a; ain-1(ku322) mutants are essentially wild-type, except for sporadically gapped alae and excess seam cell nuclei arising from retarded seam cell fusion; more prominently, ain-1(ku322) suppresses the multivulva phenotype of lin-31(n1053) mutations, while strongly enhancing lin-31(n1053)'s egg-laying defect; the cellular basis of lin-31(n1053);ain-1(ku322) phenotypes is a delay in vulval development in L4 larvae not seen with either mutation alone; ain-1(ku322) has no effect on let-60(n1046) or lin-3(e1275) mutations; ain-1(ku322) suppresses the precocious vulval development of lin-14(RNAi), lin-28 mutants, and hbl-1(RNAi); alg-1 or alg-1 ain-1 mutant alae resemble ain-1 alae, indicating that ALG-1 and AIN-1 act in a common genetic pathway; AIN-1 is homologous to Brugia malayi 14748.m00068, 14052.m00191, and 14963.m01790, and paralogous to C. elegans B0041.2; AIN-1 and its nematode homologs have weak similarity to human TNRC6A (GW182; OMIM:610739) and Drosophila GAWKY.",WBGene00015547,16613451,16617605,1,Caenorhabditis elegans
WBGene00015557,,C06G4.1,,WBGene00015557,7987129,7990549,1,Caenorhabditis elegans
WBGene00015581,,C07H6.4,,WBGene00015581,7499709,7503246,1,Caenorhabditis elegans
WBGene00015703,,C11D2.7,,WBGene00015703,6154557,6155396,-1,Caenorhabditis elegans
WBGene00015943,tiar-1,C18A3.5,,WBGene00015943,5712350,5714823,-1,Caenorhabditis elegans
WBGene00016019,,C23H3.3,,WBGene00016019,57670,60080,1,Caenorhabditis elegans
WBGene00016113,,C25H3.4,,WBGene00016113,5691721,5693935,1,Caenorhabditis elegans
WBGene00016173,fust-1,C27H5.3,,WBGene00016173,7152566,7155474,1,Caenorhabditis elegans
WBGene00016245,,C30B5.4,,WBGene00016245,6195811,6196959,-1,Caenorhabditis elegans
WBGene00016383,,C33H5.17,,WBGene00016383,7811142,7812809,-1,Caenorhabditis elegans
WBGene00016407,,C34D10.2,,WBGene00016407,8015044,8026799,1,Caenorhabditis elegans
WBGene00016489,,C36E6.1,"C36E6.1 encodes two proteins by alternative splicing, belonging to an ancient family of single-stranded nucleic acid-binding proteins, that are predicted to regulate gene expression through binding either mRNA or (locally) single-stranded DNA; they are most likely to specifically bind one or more discrete mRNAs and regulate their spatial localization or alternative splicing.",WBGene00016489,17434445,17438080,1,Caenorhabditis elegans
WBGene00016601,acin-1,C43E11.1,"acin-1 encodes an ortholog of human ACIN1 (OMIM:604562, which induces apoptotic chromatin condensation) and Drosophila HOOK-LIKE.",WBGene00016601,4270646,4273332,1,Caenorhabditis elegans
WBGene00016607,,C43E11.9,,WBGene00016607,4266928,4267967,-1,Caenorhabditis elegans
WBGene00016624,,C44B7.2,,WBGene00016624,6898680,6901792,1,Caenorhabditis elegans
WBGene00016653,,C44E4.4,,WBGene00016653,4634103,4635630,1,Caenorhabditis elegans
WBGene00016791,,C49H3.4,,WBGene00016791,7915300,7916640,1,Caenorhabditis elegans
WBGene00016799,,C50C3.1,,WBGene00016799,8191817,8193850,1,Caenorhabditis elegans
WBGene00016808,,C50D2.5,,WBGene00016808,98151,98962,1,Caenorhabditis elegans
WBGene00016977,,C56G2.1,,WBGene00016977,6353384,6366642,1,Caenorhabditis elegans
WBGene00017004,nrd-1,D1007.7,,WBGene00017004,4597890,4602666,-1,Caenorhabditis elegans
WBGene00017098,,E02D9.1,,WBGene00017098,6800386,6804853,1,Caenorhabditis elegans
WBGene00017132,mel-47,EEED8.1,,WBGene00017132,5421253,5422741,1,Caenorhabditis elegans
WBGene00017135,,EEED8.4,,WBGene00017135,5410467,5411245,1,Caenorhabditis elegans
WBGene00017138,,EEED8.10,"This gene encodes a protein containing an F-box, a motif predicted to mediate protein-protein interactions either with homologs of yeast Skp-1p or with other proteins.",WBGene00017138,5395420,5398902,-1,Caenorhabditis elegans
WBGene00017140,,EEED8.12,,WBGene00017140,5408265,5409020,-1,Caenorhabditis elegans
WBGene00017372,,F10G7.9,,WBGene00017372,4703254,4706488,-1,Caenorhabditis elegans
WBGene00017778,psf-1,F25B5.7,"psf-1 encodes an ortholog of Drosophila NONA and of human NONO (OMIM:300084) and SFPQ (OMIM: 605199); fly NONA and human NONO are putative DNA- or RNA-binding proteins required for normal rhythmic behaviors; fly NONA is also required for embryonic development and visual behavior, and forms a complex with the mRNA export factor NXF1.",WBGene00017778,5953525,5958246,-1,Caenorhabditis elegans
WBGene00017816,,F26B1.2,,WBGene00017816,6317701,6320419,1,Caenorhabditis elegans
WBGene00017929,grld-1,F29C4.7,"grld-1 is orthologous to human RBM15 (OMIM:606077, mutated in infantile acute megakaryoblastic leukemia) and Drosophila NITO; GRLD-1 encodes a paralog of DIN-1; like DIN-1, it has N-terminal RNA recognition motifs (RRMs) and a C-terminal SID/RD (SMRT interaction domain/repressor) domain.",WBGene00017929,121791,126225,-1,Caenorhabditis elegans
WBGene00019157,,H05C05.1,,WBGene00019157,2947091,2960574,1,Caenorhabditis elegans
WBGene00019241,,H24K24.4,,WBGene00019241,904950,911604,1,Caenorhabditis elegans
WBGene00019249,,H28G03.1,,WBGene00019249,5216363,5219012,1,Caenorhabditis elegans
WBGene00019347,mbl-1,K02H8.1,"mbl-1 encodes, by alternative splicing, two isoforms of a putative  MUSCLEBLIND-type mRNA splicing regulator required in adults for normal  muscle dense body organization, locomotion, and vulval morphogenesis;  MBL-1 is orthologous to Drosophila MBL and human MBNL1 (OMIM:606516),  MBNL2 (OMIM:607327), and MBNL3 (OMIM:300413); mbl-1 is transcribed in  larvae and adults; mbl-1(RNAi) animals show protruding vulvae,  progressive uncoordination, and disordered dense bodies; while mbl-1  is required in adults, it is dispensable in larvae, perhaps reflecting a  progressive muscle dystrophy in mbl-1(RNAi) animals.",WBGene00019347,17001728,17008361,1,Caenorhabditis elegans
WBGene00019509,,K07H8.9,,WBGene00019509,8285175,8286470,-1,Caenorhabditis elegans
WBGene00019510,,K07H8.10,,WBGene00019510,8286586,8289529,-1,Caenorhabditis elegans
WBGene00019692,,M01A10.1,"M01A10.1 encodes a protein, belonging to an ancient family of single-stranded nucleic acid-binding proteins, that is predicted to regulate gene expression through binding either mRNA or (locally) single-stranded DNA; it is most likely to specifically bind one or more discrete mRNAs and regulate their spatial localization or alternative splicing.",WBGene00019692,5563830,5566265,1,Caenorhabditis elegans
WBGene00019881,,R05D3.8,,WBGene00019881,8356885,8358844,-1,Caenorhabditis elegans
WBGene00020091,rnp-8,R119.7,,WBGene00020091,364519,368465,1,Caenorhabditis elegans
WBGene00020097,larp-1,R144.7,"larp-1 encodes an La-related protein containing an La RNA-binding motif and a conserved LARP1 domain; loss of larp-1 activity results in defective oogenesis, which is suppressed by loss of function mutations in Ras-MAPK signaling components, suggesting that in the germline, LARP-1 functions to negatively regulate Ras-MAPK pathway activity; as LARP-1 binds RNA homopolymers in vitro and larp-1 mutants show elevated mRNA and protein levels of select Ras-MAPK pathway components, LARP-1 likely affects oogenesis via regulation of Ras-MAPK signaling; in the germline, LARP-1 localizes to P bodies, cytoplasmic foci that function in mRNA degradation.",WBGene00020097,5008948,5017697,-1,Caenorhabditis elegans
WBGene00020346,,T08B2.5,,WBGene00020346,6215669,6219911,1,Caenorhabditis elegans
WBGene00020354,,T08B6.5,,WBGene00020354,4889918,4890629,1,Caenorhabditis elegans
WBGene00020399,ztf-4,T10B11.3,,WBGene00020399,6926262,6929663,1,Caenorhabditis elegans
WBGene00020417,nuo-2,T10E9.7,nuo-2 encodes the C. elegans ortholog of the NDUFS3 subunit of mitochondrial complex I.,WBGene00020417,6530130,6533031,-1,Caenorhabditis elegans
WBGene00020827,,T26A8.4,"T26A8.4 encodes the C. elegans ortholog of Saccharomyces cerevisiae Caf120, a component of the conserved Ccr4-Not deadenylase complex that regulates transcription and RNA degradation; in C. elegans, T26A8.4 is essential for embryonic and larval development, as well as germ cell and vulval development, normal body size, and proper locomotion.",WBGene00020827,8428961,8431493,-1,Caenorhabditis elegans
WBGene00020936,hrpf-1,W02D3.11,"W02D3.11 encodes, by alternative splicing, two protein isoforms orthologous to human hnRNP F and hnRNP H proteins, which activate alternative mRNA splicing in neurons; W02D3.11A-B proteins localize to nuclear speckles thought to represent foci of pre-mRNA; with EXC-7 and UNC-75, W02D3.11A-B may act as pre-mRNA splicing factors.",WBGene00020936,6753229,6756348,-1,Caenorhabditis elegans
WBGene00020953,,W02G9.3,,WBGene00020953,2671464,2673973,1,Caenorhabditis elegans
WBGene00021047,zfp-3,W05H7.4,,WBGene00021047,1440522,1446694,-1,Caenorhabditis elegans
WBGene00021351,,Y37E3.10,,WBGene00021351,2072680,2076906,1,Caenorhabditis elegans
WBGene00021377,,Y37E11B.5,,WBGene00021377,3593952,3598552,-1,Caenorhabditis elegans
WBGene00021682,,Y48G1C.9,,WBGene00021682,91380,92877,1,Caenorhabditis elegans
WBGene00021816,,Y53G8AR.9,,WBGene00021816,3317745,3321245,-1,Caenorhabditis elegans
WBGene00021845,rpb-7,Y54E10BR.6,,WBGene00021845,3031212,3032938,-1,Caenorhabditis elegans
WBGene00021901,tag-262,Y54H5A.3,,WBGene00021901,5151909,5153154,-1,Caenorhabditis elegans
WBGene00021921,,Y55F3AM.3,,WBGene00021921,1012652,1019558,1,Caenorhabditis elegans
WBGene00021924,,Y55F3AM.6,,WBGene00021924,992289,997652,1,Caenorhabditis elegans
WBGene00022019,sut-2,Y61A9LA.8,,WBGene00022019,4562215,4570043,-1,Caenorhabditis elegans
WBGene00022025,,Y65B4A.1,,WBGene00022025,654096,658706,1,Caenorhabditis elegans
WBGene00022101,,Y69A2AR.32,,WBGene00022101,2610422,2612442,1,Caenorhabditis elegans
WBGene00022235,sqd-1,Y73B6BL.6,,WBGene00022235,6324181,6326404,1,Caenorhabditis elegans
WBGene00022253,hrpf-2,Y73B6BL.33,,WBGene00022253,6373191,6376522,-1,Caenorhabditis elegans
WBGene00022257,puf-11,Y73B6BL.38,,WBGene00022257,6421592,6423500,1,Caenorhabditis elegans
WBGene00022538,,ZC190.4,,WBGene00022538,8666065,8671665,1,Caenorhabditis elegans
WBGene00022737,,ZK418.8,,WBGene00022737,7083682,7085061,-1,Caenorhabditis elegans
WBGene00022738,,ZK418.9,"ZK418.9 encodes two proteins by alternative splicing, belonging to an ancient family of single-stranded nucleic acid-binding proteins, that are predicted to regulate gene expression through binding either mRNA or (locally) single-stranded DNA; they are most likely to specifically bind one or more discrete mRNAs and regulate their spatial localization or alternative splicing.",WBGene00022738,7085195,7087741,-1,Caenorhabditis elegans
WBGene00022771,,ZK616.1,,WBGene00022771,5402938,5405537,1,Caenorhabditis elegans
WBGene00022830,,ZK973.1,,WBGene00022830,4382565,4385225,1,Caenorhabditis elegans
WBGene00044329,cpsf-4,F11A10.8,,WBGene00044329,12092320,12093472,-1,Caenorhabditis elegans
WBGene00044674,,B0280.17,,WBGene00044674,7135022,7136127,-1,Caenorhabditis elegans
